service_id,date,exception_type
1,20240819,2
1,20240826,2
1,20240902,1
1,20240909,2
1,20240916,2
2,20240824,2
2,20240831,2
2,20240907,2
2,20240914,2
2,20240921,2
3,20240901,2
4,20240821,2
4,20240828,2
4,20240904,2
4,20240911,2
4,20240918,2
5,20240822,2
5,20240829,2
5,20240905,2
5,20240912,2
5,20240919,2
6,20240819,2
6,20240820,2
6,20240821,2
6,20240822,2
6,20240826,2
6,20240827,2
6,20240828,2
6,20240829,2
6,20240902,2
6,20240916,2
8,20240818,2
8,20240825,2
8,20240901,1
8,20240908,2
8,20240915,2
9,20240823,2
9,20240830,2
9,20240906,2
9,20240913,2
9,20240920,2
10,20240823,2
10,20240830,2
11,20240823,1
11,20240830,1
11,20240906,2
11,20240913,2
11,20240920,2
12,20240819,1
12,20240820,1
12,20240821,1
12,20240822,1
12,20240826,1
12,20240827,1
12,20240828,1
12,20240829,1
12,20240902,2
12,20240903,2
12,20240904,2
12,20240905,2
12,20240909,2
12,20240910,2
12,20240911,2
12,20240912,2
12,20240916,1
12,20240917,2
12,20240918,2
12,20240919,2
