route_id,fare_id
10352,c
10353,c
10354,c
10355,c
10356,c
10357,c
10358,c
10359,c
10360,c
10361,c
10362,c
10363,c
10364,c
10365,c
10366,c
10367,c
10368,c
10369,c
10370,c
10371,c
10372,c
10373,c
10374,c
10375,c
10376,c
10377,c
10378,c
10379,c
10380,c
10381,c
10382,c
10383,c
10384,c
10385,c
10386,c
10387,c
10388,c
10389,c
10390,c
10391,c
10392,c
10393,c
10394,c
10395,f
10396,f
10397,f
10398,f
10465,c
10466,c
10467,c
10468,c
10469,c
10470,c
10471,c
10472,c
10473,c
10474,c
10475,c
10476,c
10477,c
10478,c
10479,c
10480,c
10481,c
10482,c
10483,c
10484,c
10460,f
10461,f
10462,f
10463,f
