route_id,agency_id,route_sort_order,route_short_name,route_long_name,route_service_name,route_desc,route_type,route_url,route_color,route_text_color,bikes_allowed
A,1,1,A,Route A,1-SUN PRAIRIE/2-AMERICAN CENTER:JUNCTION,Monday thru Saturday daytime schedule trips operate at least every 15 minutes. Evening and all-day Sunday/Holiday schedule trips operate at least every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-a,EE3325,FFFFFF,1
B,1,2,B,Route B,NORTHPORT:FITCHBURG,Monday thru Saturday daytime schedule trips operate at least every 15 minutes. Evening and all-day Sunday/Holiday schedule trips operate at least every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-b,80BC00,FFFFFF,1
C,1,3,C,Route C,1-SPRECHER/2-BUCKEYE:U.W. HOSPITAL,Weekday daytime schedule trips operate at least every 15 minutes. Evening and all-day Weekend/Holiday schedule trips operate at least every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-c,333366,FFFFFF,1
D,1,4,D,Route D,1-SPRECHER/2-AIRPORT:1-JUNCTION/2-MCKEE,Weekday daytime schedule trips operate at least every 15 minutes. Evening and all-day Weekend/Holiday schedule trips operate at least every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-d,333366,FFFFFF,1
E,1,5,E,Route E,SQUARE:MCKEE,Weekday daytime schedule trips operate at least every 30 minutes. Evening and all-day Weekend/Holiday schedule trips operate at least every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-e,2272B5,FFFFFF,1
F,1,6,F,Route F,SHEBOYGAN/SQUARE:JUNCTION,Daily schedule trips operate at least every 30 minutes. Evening and all-day Weekend/Holiday schedule trips do not operate between Sheboygan and Square.,3,http://www.cityofmadison.com/metro/routes-schedules/route-f,333366,FFFFFF,1
G,1,7,G,Route G,EAST TOWNE:SOUTH TRANSFER,Daily schedule trips operate at least every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-g,333366,FFFFFF,1
H,1,8,H,Route H,SOUTH TRANSFER:WEST TOWNE,Daily schedule trips operate at least every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-h,333366,FFFFFF,1
J,1,10,J,Route J,BROOKS:WEST TOWNE,Weekday daytime schedule trips operate at least every 30 minutes. Evening and all-day Weekend/Holiday schedule trips operate at least every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-j,2272B5,FFFFFF,1
L,1,12,L,Route L,CHEROKEE:OWL CREEK,Daily schedule trips operate at least every 75 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-l,46AAD1,FFFFFF,1
