stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,agency_id,jurisdiction_id,location_type,parent_station,relative_position,cardinal_direction,wheelchair_boarding,primary_street,address_range,cross_location
141,0141,W Washington & S Fairchild (EB),This EVENT/DETOUR ONLY stop (#0141) is eastbound on the 201 block of W Washington Ave nearside of Fairchild St (S),43.073074,-89.386255,MMT,CMAD,0,,3,90,1,W Washington,201,S Fairchild
1110,1110,E Dayton & Wisconsin (WB),This EVENT/DETOUR ONLY stop (#1110) is westbound on the 2 block of Dayton St (E) nearside of Wisconsin Ave,43.076428,-89.385920,MMT,CMAD,0,,3,270,1,E Dayton,2,Wisconsin
1140,1140,E Washington & N Webster (WB),This EVENT/DETOUR ONLY stop (#1140) is westbound on the 200 block of E Washington Ave nearside of Webster St (N),43.076390,-89.381930,MMT,CMAD,0,,3,270,1,E Washington,200,N Webster
1155,1155,S Webster & E Main (NB),This EVENT/DETOUR ONLY stop (#1155) is northbound on the 99 block of Webster St (S) farside of Main St (E),43.075579,-89.381192,MMT,CMAD,0,,1,0,1,S Webster,99,E Main
4000,SoTP,South Transfer Point,The South Transfer Point station is located at 2430 Park St (S) - just north of Badger Rd (W),43.038957,-89.394651,MMT,MTSM,1,,5,,1,South Transfer Point,2430,S Park
4100,4100,South Transfer Point,This stop (#4100) is on the pedestrian island at the South Transfer Point station,43.038895,-89.394824,MMT,MTSM,0,4000,5,,1,South Transfer Point,2430,S Park
5,0005,W Dayton & N Orchard (EB),This stop (#0005) is eastbound on the 1299 block of Dayton St (W) farside Orchard St (N),43.070947,-89.406982,MMT,CMAD,0,,1,90,1,W Dayton,1299,N Orchard
10,0010,Langdon & N Park (WB),This stop (#0010) is westbound on the 898 block of Langdon St nearside Park St (N),43.075933,-89.400154,MMT,CMAD,0,,3,270,1,Langdon,898,N Park
25,0025,Langdon & N Lake (EB),This stop (#0025) is eastbound on the 699 block of Langdon St farside Lake St (N),43.075691,-89.396944,MMT,CMAD,0,,1,90,1,Langdon,699,N Lake
39,0039,N Lake & W Johnson (NB),This stop (#0039) is northbound on the 299 block of Lake St (N) nearside Johnson St (W),43.071895,-89.397341,MMT,CMAD,0,,3,0,1,N Lake,299,W Johnson
45,0045,Langdon & Wisconsin (EB),This stop (#0045) is eastbound on the 1 block of Langdon St nearside Wisconsin Ave,43.078482,-89.38982,MMT,CMAD,0,,3,90,1,Langdon,1,Wisconsin
49,0049,N Lake & Langdon (NB),This stop (#0049) is northbound on the 599 block of Lake St (N) nearside Langdon St,43.075529,-89.397191,MMT,CMAD,0,,3,0,1,N Lake,599,Langdon
52,0052,Observatory & N Charter (WB),This stop (#0052) is westbound on the 1198 block of Observatory Dr nearside Charter St (N),43.076131,-89.40566,MMT,UWIS,0,,3,270,1,Observatory,1198,N Charter
56,0056,Observatory & Liz Waters (WB),This stop (#0056) is westbound on the 1300 block of Observatory Dr adjacent Elizabeth Waters Hall,43.07665,-89.407141,MMT,UWIS,0,,2,270,1,Observatory,1300,Liz Waters
60,0060,Observatory & Bascom (WB),This stop (#0060) is westbound on the 1100 block of Observatory Dr adjacent Bascom Hall,43.075996,-89.40366,MMT,UWIS,0,,2,270,1,Observatory,1100,Bascom
61,0061,W Dayton & N Mills (EB),This stop (#0061) is eastbound on the 1099 block of Dayton St (W) farside Mills St (N),43.070893,-89.403698,MMT,CMAD,0,,1,90,1,W Dayton,1099,N Mills
68,0068,N Lake & W Johnson (SB),This stop (#0068) is southbound on the 300 block of Lake St (N) nearside Johnson St (W),43.072172,-89.397625,MMT,CMAD,0,,3,180,1,N Lake,300,W Johnson
75,0075,W Dayton & N Park (EB),This stop (#0075) is eastbound on the 899 block of Dayton St (W) farside Park St (N),43.070839,-89.40002,MMT,CMAD,0,,1,90,1,W Dayton,899,N Park
87,0087,N Broom & W Gorham (NB),This stop (#0087) is northbound on the 399 block of Broom St (N) nearside Gorham St (W),43.07415,-89.392328,MMT,CMAD,0,,3,0,1,N Broom,399,W Gorham
89,0089,Langdon & N Henry (EB),This stop (#0089) is eastbound on the 199 block of Langdon St farside Henry St (N),43.076844,-89.392142,MMT,CMAD,0,,1,90,1,Langdon,199,N Henry
96,0096,Wisconsin & W Gorham (SB),This stop (#0096) is southbound on the 400 block of Wisconsin Ave nearside Gorham St (W),43.077515,-89.388055,MMT,CMAD,0,,3,180,1,Wisconsin,400,W Gorham
99,0099,Langdon & N Park (EB),This stop (#0099) is eastbound on the 899 block of Langdon St farside Park St (N),43.075745,-89.400179,MMT,CMAD,0,,1,90,1,Langdon,899,N Park
100,0100,University & N Park (WB),This stop (#0100) is westbound on the 900 block of University Ave farside Park St (N),43.073399,-89.401365,MMT,CMAD,0,,1,270,1,University,900,N Park
107,0107,S Park & W Olin (NB),This stop (#0107) is northbound on the 1117 block of Park St (S) farside Olin Ave (W),43.054383,-89.396533,MMT,CMAD,0,,1,0,1,S Park,1117,W Olin
115,0115,N Park & Regent (NB),This stop (#0115) is northbound on the 21 block of Park St (N) farside Regent St,43.067983,-89.400724,MMT,CMAD,0,,1,0,1,N Park,21,Regent
121,0121,W Badger & Fiedler (EB),This stop (#0121) is eastbound on the 1099 block of Badger Rd (W) farside Fiedler Ln,43.038466,-89.401117,MMT,CMAD,0,,1,90,1,W Badger,1099,Fiedler
124,0124,S Park & Wingra (SB),This stop (#0124) is southbound on the 1700 block of Park St (S) farside Wingra Dr (W),43.048957,-89.394289,MMT,CMAD,0,,1,180,1,S Park,1700,Wingra
133,0133,University & N Breese (EB),This stop (#0133) is eastbound on the 1599 block of University Ave farside Breese Ter (N),43.073275,-89.413154,MMT,CMAD,0,,1,90,1,University,1599,N Breese
139,0139,N Randall & Regent (NB),This stop (#0139) is northbound on the 1 block of Randall Ave (N) farside Regent St,43.068038,-89.408834,MMT,CMAD,0,,1,0,1,N Randall,1,Regent
144,0144,W Badger & Colonial Heights (WB),This stop (#0144) is westbound on the 640 block of Badger Rd (W) adjacent Colonial Heights,43.038545,-89.390641,MMT,CMAD,0,,2,270,1,W Badger,640,Colonial Heights
145,0145,W Johnson & State (EB),This stop (#0145) is eastbound on the 199 block of Johnson St (W) farside State St,43.07491,-89.389575,MMT,CMAD,0,,1,90,1,W Johnson,199,State
146,0146,Fish Hatchery & Midland (SB),This stop (#0146) is southbound on the 1200 block of Fish Hatchery Rd farside Midland St,43.053981,-89.399186,MMT,CMAD,0,,1,180,1,Fish Hatchery,1200,Midland
147,0147,W Olin & Hickory (EB),This stop (#0147) is eastbound on the 599 block of Olin Ave (W) farside Hickory St,43.053872,-89.391782,MMT,CMAD,0,,1,90,1,W Olin,599,Hickory
153,0153,E Olin & Quann (EB),This stop (#0153) is eastbound on the 199 block of Olin Ave (E) farside Quann Pkwy,43.052132,-89.38075,MMT,CMAD,0,,1,90,1,E Olin,199,Quann
160,0160,University & N Randall (WB),This stop (#0160) is westbound on the 1400 block of University Ave farside Randall Ave (N),43.073481,-89.409413,MMT,CMAD,0,,1,270,1,University,1400,N Randall
161,0161,S Broom & W Doty (NB),This stop (#0161) is northbound on the 199 block of Broom St (S) farside Doty St (W),43.070146,-89.387071,MMT,CMAD,0,,1,0,1,S Broom,199,W Doty
162,0162,S Park & Meriter (SB),This stop (#0162) is southbound on the 100 block of Park St (S) adjacent Meriter Hospital,43.065091,-89.400997,MMT,CMAD,0,,2,180,1,S Park,100,Meriter
166,0166,Rimrock & John Nolen (WB),This stop (#0166) is westbound on the 2000 block of Rimrock Rd farside John Nolen Dr,43.045854,-89.375546,MMT,CMAD,0,,1,270,1,Rimrock,2000,John Nolen
173,0173,W Badger & Cypress (EB),This stop (#0173) is eastbound on the 901 block of Badger Rd (W) nearside Cypress Way,43.03843,-89.397946,MMT,CMAD,0,,3,90,1,W Badger,901,Cypress
174,0174,S Park & Fish Hatchery (SB),This stop (#0174) is southbound on the 1000 block of Park St (S) farside Fish Hatchery Rd,43.056451,-89.398716,MMT,CMAD,0,,1,180,1,S Park,1000,Fish Hatchery
