from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
4000,4000,2,180,,
6455,6455,2,180,,
6863,6863,2,180,,
6455,6863,2,300,,
6863,6455,2,300,,
6166,6837,2,300,,
6166,6473,2,300,,
6962,6962,2,180,,
6962,6426,2,300,,
6962,6755,2,300,,
6426,6962,2,300,,
6755,6962,2,300,,
6418,6959,2,300,,
6883,6959,2,300,,
6959,6418,2,300,,
6959,6883,2,300,,
6921,6176,2,300,,
6176,6921,2,300,,
6489,6489,2,180,,
6489,6628,2,300,,
6489,6706,2,300,,
6706,6489,2,300,,
8131,8131,2,180,,
8131,8180,2,300,,
8124,8124,2,180,,
8124,6269,2,300,,
8779,8779,2,180,,
8779,8634,2,300,,
8512,8512,2,300,,
8139,8868,2,180,,
8139,8218,2,180,,
8139,8371,2,180,,
8218,8868,2,180,,
8371,8371,2,180,,
4379,4616,2,300,,
4379,4485,2,300,,
4510,4616,2,300,,
4510,4485,2,300,,
4616,4379,2,300,,
4616,4510,2,300,,
4485,4379,2,300,,
4485,4510,2,300,,
4179,4179,2,300,,
4179,4798,2,300,,
4481,4326,2,300,,
2665,2665,2,180,,
2665,2778,2,180,,
2665,2522,2,180,,
2522,2522,2,180,,
2522,2665,2,180,,
2522,2778,2,180,,
2778,2522,2,180,,
2778,2665,2,180,,
2160,2670,2,300,,
2160,2511,2,300,,
2401,2670,2,300,,
2401,2511,2,300,,
2511,2160,2,300,,
2511,2401,2,300,,
2670,2160,2,300,,
2670,2401,2,300,,
2419,2175,2,180,,
2419,2376,2,180,,
2175,2175,2,180,,
2175,2376,2,180,,
2376,2376,2,180,,
2972,2655,2,300,,
2972,2476,2,300,,
2505,2112,2,180,,
2467,2467,2,180,,
2467,2131,2,180,,
2467,2820,2,180,,
2820,2820,2,180,,
2820,2131,2,180,,
2820,2467,2,180,,
2576,2467,2,180,,
2576,2820,2,180,,
2561,2643,2,300,,
2561,2844,2,300,,
2643,2643,2,300,,
2643,2561,2,300,,
2643,2844,2,300,,
2844,2844,2,300,,
2844,2561,2,300,,
2844,2643,2,300,,
2091,2091,2,300,,
2091,2125,2,300,,
2091,2916,2,300,,
2125,2125,2,300,,
2125,2091,2,300,,
2125,2916,2,300,,
2349,2349,2,300,,
2349,2620,2,300,,
241,406,2,300,,
241,533,2,300,,
682,406,2,300,,
682,533,2,300,,
2940,406,2,300,,
2940,533,2,300,,
406,241,2,300,,
406,682,2,300,,
406,2940,2,300,,
533,241,2,300,,
533,406,2,300,,
533,682,2,300,,
533,2940,2,300,,
398,139,2,300,,
398,422,2,300,,
977,139,2,300,,
977,422,2,300,,
139,398,2,300,,
139,977,2,300,,
422,398,2,300,,
422,977,2,300,,
336,336,2,300,,
336,857,2,300,,
857,857,2,300,,
857,336,2,300,,
115,271,2,300,,
115,962,2,300,,
546,271,2,300,,
546,962,2,300,,
271,115,2,300,,
271,546,2,300,,
962,115,2,300,,
962,546,2,300,,
180,75,2,300,,
182,75,2,300,,
561,75,2,300,,
75,180,2,300,,
75,182,2,300,,
75,561,2,300,,
100,100,2,180,,
100,269,2,180,,
100,455,2,180,,
100,538,2,180,,
269,269,2,180,,
269,100,2,180,,
269,455,2,180,,
269,538,2,180,,
455,455,2,180,,
455,100,2,180,,
455,269,2,180,,
455,538,2,180,,
538,100,2,180,,
538,269,2,180,,
538,455,2,180,,
251,251,2,180,,
251,288,2,180,,
251,904,2,180,,
288,288,2,180,,
288,251,2,180,,
288,904,2,180,,
904,251,2,180,,
904,288,2,180,,
107,879,2,300,,
4443,4443,2,300,,
4443,4622,2,300,,
4443,4790,2,300,,
4707,4707,2,300,,
4707,4892,2,300,,
4892,4892,2,300,,
4892,4707,2,300,,
353,499,2,300,,
353,816,2,300,,
499,499,2,300,,
499,353,2,300,,
499,816,2,300,,
816,816,2,300,,
816,353,2,300,,
816,499,2,300,,
203,828,2,300,,
203,448,2,300,,
448,448,2,300,,
448,203,2,300,,
448,828,2,300,,
828,828,2,300,,
828,203,2,300,,
828,448,2,300,,
3259,3527,2,300,,
3259,3732,2,300,,
3646,3527,2,300,,
3646,3732,2,300,,
3527,3259,2,300,,
3527,3646,2,300,,
3732,3259,2,300,,
3732,3646,2,300,,
7144,7144,2,180,,
7144,7605,2,180,,
7605,7605,2,180,,
7605,7144,2,180,,
7328,7247,2,300,,
7328,7578,2,300,,
7215,7215,2,300,,
7215,7675,2,300,,
7215,7834,2,300,,
7137,7374,2,180,,
7137,7460,2,180,,
7137,7607,2,180,,
7374,7374,2,180,,
7374,7137,2,180,,
7374,7460,2,180,,
7374,7607,2,180,,
7460,7460,2,180,,
7460,7137,2,180,,
7460,7374,2,180,,
7460,7607,2,180,,
7562,7562,2,180,,
7169,7169,2,180,,
7169,7398,2,180,,
7169,7657,2,180,,
7398,7398,2,180,,
7398,7169,2,180,,
7398,7657,2,180,,
7657,7169,2,180,,
7657,7398,2,180,,
1105,1270,2,300,,
1105,1886,2,300,,
7888,1169,2,300,,
7888,1225,2,300,,
9139,9442,2,300,,
9387,9139,2,300,,
9387,9810,2,300,,
9163,9209,2,180,,
9209,9209,2,180,,
9209,9566,2,180,,
9209,9588,2,180,,
9566,9566,2,180,,
9566,9163,2,180,,
9566,9209,2,180,,
9566,9588,2,180,,
9588,9209,2,180,,
9588,9566,2,180,,
9520,9343,2,180,,
9520,9475,2,180,,
9822,9509,2,180,,
9001,9001,2,180,,
9236,9582,2,300,,
9582,9236,2,300,,
9178,9403,2,300,,
9256,9497,2,300,,
9100,9438,2,180,,
9100,9675,2,180,,
9101,9438,2,180,,
9101,9675,2,180,,
9438,9100,2,180,,
9438,9101,2,180,,
9675,9100,2,180,,
9675,9101,2,180,,
9339,9339,2,300,,
9339,9552,2,300,,
9552,9552,2,300,,
1152,1216,2,300,,
1152,1841,2,300,,
1679,1216,2,300,,
1679,1841,2,300,,
1216,1152,2,300,,
1216,1679,2,300,,
1841,1152,2,300,,
1841,1679,2,300,,
1290,1922,2,300,,
1341,1877,2,300,,
5162,5162,2,180,,
5162,5223,2,180,,
5162,5366,2,180,,
5162,5741,2,180,,
5223,5223,2,180,,
5223,5162,2,180,,
5223,5366,2,180,,
5223,5741,2,180,,
5366,5162,2,180,,
5366,5223,2,180,,
5366,5741,2,180,,
5741,5162,2,180,,
5741,5223,2,180,,
5741,5366,2,180,,
5238,5753,2,300,,
5238,5335,2,300,,
1112,1112,2,180,,
1112,1293,2,180,,
1112,1301,2,180,,
1112,1311,2,180,,
1293,1112,2,180,,
1293,1301,2,180,,
1293,1311,2,180,,
1301,1301,2,180,,
1301,1112,2,180,,
1301,1293,2,180,,
1301,1311,2,180,,
1311,1293,2,180,,
1311,1301,2,180,,
1518,1635,2,300,,
1518,1944,2,300,,
1692,1379,2,300,,
1892,1333,2,300,,
1209,1209,2,180,,
1209,1636,2,180,,
1636,1636,2,180,,
1636,1209,2,180,,
1505,1505,2,180,,
1878,1878,2,180,,
1101,1101,2,180,,
1101,1787,2,300,,
1787,1787,2,180,,
1787,1100,2,300,,
1100,1100,2,180,,
1100,1787,2,300,,
898,145,2,300,,
593,839,2,300,,
568,568,2,300,,
568,941,2,300,,
274,961,2,300,,
961,274,2,300,,
961,989,2,300,,
989,961,2,300,,
473,710,2,300,,
512,710,2,300,,
710,512,2,300,,
710,473,2,300,,
161,791,2,300,,
564,791,2,300,,
1731,1230,2,300,,
469,768,2,300,,
10,10,2,180,,
10,99,2,180,,
99,10,2,180,,
1791,1138,2,180,,
1791,1831,2,180,,
1138,1791,2,180,,
1831,1791,2,180,,
39,435,2,300,,
68,435,2,300,,
435,39,2,300,,
435,68,2,300,,
765,670,2,300,,
670,765,2,300,,
706,178,2,300,,
178,706,2,300,,
298,532,2,300,,
488,488,2,300,,
488,438,2,300,,
2267,2267,2,300,,
2267,2442,2,300,,
2442,2442,2,300,,
2442,2267,2,300,,
2605,2192,2,300,,
692,542,2,300,,
10,10,4,,1131940,1131941
10,10,4,,1131941,1131942
10,10,4,,1131942,1131943
10,10,4,,1131943,1131944
10,10,4,,1131944,1131945
10,10,4,,1131945,1131946
10,10,4,,1131946,1132006
10,10,4,,1131947,1131949
10,10,4,,1131948,1131950
10,10,4,,1131949,1131951
10,10,4,,1131950,1131953
10,10,4,,1131951,1131955
10,10,4,,1131952,1131956
10,10,4,,1131953,1131957
10,10,4,,1131954,1131958
10,10,4,,1131955,1131959
10,10,4,,1131956,1131960
10,10,4,,1131957,1131961
10,10,4,,1131958,1131962
10,10,4,,1131959,1131963
10,10,4,,1131960,1131964
10,10,4,,1131961,1131965
10,10,4,,1131962,1131966
10,10,4,,1131963,1131967
10,10,4,,1131964,1131968
10,10,4,,1131965,1131969
10,10,4,,1131966,1131970
10,10,4,,1131967,1131971
10,10,4,,1131968,1131972
10,10,4,,1131969,1131973
10,10,4,,1131970,1131974
10,10,4,,1131971,1131975
10,10,4,,1131972,1131976
10,10,4,,1131973,1131977
10,10,4,,1131974,1131978
10,10,4,,1131975,1131979
10,10,4,,1131976,1131980
10,10,4,,1131977,1131981
10,10,4,,1131978,1131982
10,10,4,,1131979,1131983
10,10,4,,1131980,1131984
10,10,4,,1131981,1131985
10,10,4,,1131982,1131986
10,10,4,,1131983,1131987
10,10,4,,1131984,1131988
10,10,4,,1131985,1131989
10,10,4,,1131986,1131990
10,10,4,,1131987,1131991
10,10,4,,1131988,1131992
10,10,4,,1131989,1131993
10,10,4,,1131990,1131994
10,10,4,,1131991,1131995
10,10,4,,1131992,1131996
10,10,4,,1131993,1131997
10,10,4,,1131994,1131998
10,10,4,,1131995,1131999
10,10,4,,1131996,1132000
10,10,4,,1131997,1132001
10,10,4,,1131998,1132002
10,10,4,,1131999,1132003
10,10,4,,1132001,1132004
10,10,4,,1132003,1132005
10,10,4,,1132005,1131940
10,10,4,,1132006,1132007
10,10,4,,1132245,1132246
10,10,4,,1132246,1132247
10,10,4,,1132247,1132248
10,10,4,,1132248,1132249
10,10,4,,1132249,1132250
10,10,4,,1132250,1132251
10,10,4,,1132251,1132252
10,10,4,,1132252,1132253
10,10,4,,1132253,1132254
10,10,4,,1132254,1132255
10,10,4,,1132255,1132256
10,10,4,,1132256,1132257
10,10,4,,1132257,1132258
10,10,4,,1132258,1132259
10,10,4,,1132259,1132260
10,10,4,,1132260,1132261
10,10,4,,1132261,1132262
10,10,4,,1132262,1132263
10,10,4,,1132263,1132264
10,10,4,,1132264,1132265
10,10,4,,1132265,1132266
10,10,4,,1132301,1132302
10,10,4,,1132302,1132303
10,10,4,,1132303,1132304
10,10,4,,1132304,1132305
10,10,4,,1132305,1132306
10,10,4,,1132306,1132307
10,10,4,,1132307,1132308
10,10,4,,1132308,1132309
10,10,4,,1132309,1132310
10,10,4,,1132310,1132311
10,10,4,,1132311,1132312
10,10,4,,1132312,1132313
10,10,4,,1132313,1132314
10,10,4,,1132314,1132315
10,10,4,,1132315,1132316
10,10,4,,1132316,1132317
10,10,4,,1132317,1132318
10,10,4,,1132318,1132319
10,10,4,,1132319,1132320
10,10,4,,1132320,1132321
10,10,4,,1132321,1132322
10,10,4,,1132386,1132387
10,10,4,,1132387,1132388
10,10,4,,1132388,1132389
10,10,4,,1132389,1132390
