trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,trip_direction_name,trip_sort
2340100,28,7,INGERSOLL VIA SHERMAN,,0,438X,shp-28-62,1,1,Westbound,65100
2169080,28,10,INGERSOLL VIA SHERMAN,,0,11128,shp-28-62,1,1,Westbound,65280
2169100,28,7,INGERSOLL VIA SHERMAN,,0,11128,shp-28-62,1,1,Westbound,65280
2851130,28,5,INGERSOLL VIA SHERMAN,,0,11228,shp-28-62,1,1,Westbound,63600
2851100,28,7,INGERSOLL VIA SHERMAN,,0,11228,shp-28-62,1,1,Westbound,63600
2851090,28,4,INGERSOLL VIA SHERMAN,,0,11228,shp-28-62,1,1,Westbound,63600
266090,28,4,INGERSOLL VIA SHERMAN,,0,337+,shp-28-62,1,1,Westbound,63420
3332090,28,4,INGERSOLL VIA SHERMAN,,0,338+,shp-28-62,1,1,Westbound,61620
788060,28,2,INGERSOLL VIA SHERMAN,,0,437X,shp-28-62,1,1,Westbound,63420
2340020,28,1,INGERSOLL VIA SHERMAN,,0,438X,shp-28-62,1,1,Westbound,65100
524060,28,2,INGERSOLL VIA SHERMAN,,0,438X,shp-28-62,1,1,Westbound,61620
2851020,28,1,INGERSOLL VIA SHERMAN,,0,11228,shp-28-62,1,1,Westbound,63600
2169130,28,5,INGERSOLL VIA SHERMAN,,0,11128,shp-28-62,1,1,Westbound,65280
2169060,28,2,INGERSOLL VIA SHERMAN,,0,11128,shp-28-62,1,1,Westbound,65280
2851080,28,10,INGERSOLL VIA SHERMAN,,0,11228,shp-28-62,1,1,Westbound,63600
824090,28,4,INGERSOLL VIA SHERMAN,,0,338+,shp-28-62,1,1,Westbound,65100
290020,28,1,INGERSOLL VIA SHERMAN,,0,437X,shp-28-62,1,1,Westbound,59820
2169090,28,4,INGERSOLL VIA SHERMAN,,0,11128,shp-28-62,1,1,Westbound,65280
2851060,28,2,INGERSOLL VIA SHERMAN,,0,11228,shp-28-62,1,1,Westbound,63600
290060,28,2,INGERSOLL VIA SHERMAN,,0,437X,shp-28-62,1,1,Westbound,59820
2169020,28,1,INGERSOLL VIA SHERMAN,,0,11128,shp-28-62,1,1,Westbound,65280
3332080,28,10,INGERSOLL VIA SHERMAN,,0,338+,shp-28-62,1,1,Westbound,61620
2233080,28,10,INGERSOLL VIA SHERMAN,,0,337+,shp-28-62,1,1,Westbound,59820
788020,28,1,INGERSOLL VIA SHERMAN,,0,437X,shp-28-62,1,1,Westbound,63420
524020,28,1,INGERSOLL VIA SHERMAN,,0,438X,shp-28-62,1,1,Westbound,61620
290100,28,7,INGERSOLL VIA SHERMAN,,0,437X,shp-28-62,1,1,Westbound,59820
788100,28,7,INGERSOLL VIA SHERMAN,,0,437X,shp-28-62,1,1,Westbound,63420
524100,28,7,INGERSOLL VIA SHERMAN,,0,438X,shp-28-62,1,1,Westbound,61620
2233090,28,4,INGERSOLL VIA SHERMAN,,0,337+,shp-28-62,1,1,Westbound,59820
2340060,28,2,INGERSOLL VIA SHERMAN,,0,438X,shp-28-62,1,1,Westbound,65100
266080,28,10,INGERSOLL VIA SHERMAN,,0,337+,shp-28-62,1,1,Westbound,63420
824080,28,10,INGERSOLL VIA SHERMAN,,0,338+,shp-28-62,1,1,Westbound,65100
1671130,28,5,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,45120
927080,28,10,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,63060
3225090,28,4,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,41520
3499130,28,5,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,37920
2748020,28,1,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,23520
927060,28,2,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,63060
2350080,28,10,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,27000
416130,28,5,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,59400
2145060,28,2,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,55860
3225060,28,2,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,41520
2145080,28,10,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,55860
1276080,28,10,SHERMAN,,1,338+,shp-28-08,1,1,Eastbound,59820
110080,28,10,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,46920
2445100,28,7,SHERMAN,,1,437X,shp-28-07,1,1,Eastbound,58980
3499080,28,10,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,37920
2363020,28,1,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,32340
110090,28,4,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,46920
2363060,28,2,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,32340
1213080,28,10,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,43320
1055100,28,7,SHERMAN,,1,438X,shp-28-08,1,1,Eastbound,63480
2199100,28,7,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,54060
2350090,28,4,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,27000
608080,28,10,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,25200
3152090,28,4,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,57600
1913060,28,2,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,52260
927100,28,7,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,63060
110100,28,7,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,46920
416090,28,4,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,59400
1213090,28,4,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,43320
2660100,28,7,SHERMAN,,1,437X,shp-28-08,1,1,Eastbound,61680
3176090,28,4,SHERMAN,,1,337+,shp-28-07,1,1,Eastbound,58980
2445060,28,2,SHERMAN,,1,437X,shp-28-07,1,1,Eastbound,58980
1671090,28,4,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,45120
2199080,28,10,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,54060
2337080,28,10,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,50520
1147060,28,2,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,39720
3499100,28,7,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,37920
2364090,28,4,SHERMAN,,1,337+,shp-28-08,1,1,Eastbound,61680
927090,28,4,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,63060
1276090,28,4,SHERMAN,,1,338+,shp-28-08,1,1,Eastbound,59820
2535060,28,2,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,28740
2820080,28,10,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,61260
1213020,28,1,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,43320
2820020,28,1,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,61260
1147090,28,4,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,39720
2820130,28,5,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,61260
1671060,28,2,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,45120
2535100,28,7,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,28740
3499090,28,4,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,37920
2363090,28,4,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,32340
3634090,28,4,SHERMAN,,1,338+,shp-28-08,1,1,Eastbound,63480
3499060,28,2,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,37920
1583090,28,4,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,34320
2199090,28,4,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,54060
2363080,28,10,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,32340
927020,28,1,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,63060
1213100,28,7,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,43320
608090,28,4,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,25200
2828020,28,1,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,30540
1583130,28,5,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,34320
2660060,28,2,SHERMAN,,1,437X,shp-28-08,1,1,Eastbound,61680
2535130,28,5,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,28740
833080,28,10,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,48720
2897100,28,7,SHERMAN,,1,438X,shp-28-08,1,1,Eastbound,59820
1147100,28,7,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,39720
3225130,28,5,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,41520
2364080,28,10,SHERMAN,,1,337+,shp-28-08,1,1,Eastbound,61680
833090,28,4,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,48720
110060,28,2,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,46920
2828130,28,5,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,30540
1913080,28,10,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,52260
2363130,28,5,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,32340
2199130,28,5,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,54060
1913020,28,1,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,52260
1583100,28,7,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,34320
2820100,28,7,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,61260
2535020,28,1,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,28740
3225020,28,1,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,41520
2748060,28,2,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,23520
3225080,28,10,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,41520
110020,28,1,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,46920
2337020,28,1,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,50520
2363100,28,7,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,32340
1913130,28,5,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,52260
1147130,28,5,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,39720
2350100,28,7,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,27000
416100,28,7,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,59400
